"Time"	alkB	ada	alkA	livK	livJ	lysU	kbl	livG	aidB	lrp
1000	0.2468298	1.0000000	0.9649278	0.0133227	0.5113359	0.5129642	0.5171697	0.3665343	0.7005504	1.0000000

0	0.2468293	1.0000000	0.9649279	0.0133237	0.5113376	0.5129648	0.5171678	0.3665343	0.7006012	1.0000000
50	0.2468293	1.0000000	0.9649279	0.0045657	0.5208126	0.1800507	0.7554502	0.3765677	0.4575081	0.8743915
100	0.2468293	1.0000000	0.9649279	0.0016139	0.5422851	0.0634640	0.8441173	0.3961376	0.3642527	0.8631357
150	0.2468293	1.0000000	0.9649279	0.0006224	0.5591088	0.0226386	0.8766486	0.4092187	0.3285368	0.8621271
200	0.2468293	1.0000000	0.9649279	0.0002904	0.5687090	0.0083435	0.8884797	0.4157229	0.3148716	0.8620367
250	0.2468293	1.0000000	0.9649279	0.0001795	0.5734862	0.0033383	0.8927481	0.4186210	0.3096468	0.8620286
300	0.2468293	1.0000000	0.9649279	0.0001427	0.5757007	0.0015859	0.8942743	0.4198558	0.3076502	0.8620279
350	0.2468293	1.0000000	0.9649279	0.0001305	0.5766860	0.0009724	0.8948142	0.4203723	0.3068878	0.8620278
400	0.2468293	1.0000000	0.9649279	0.0001264	0.5771136	0.0007576	0.8950026	0.4205866	0.3065967	0.8620278
450	0.2468293	1.0000000	0.9649279	0.0001251	0.5772962	0.0006824	0.8950672	0.4206752	0.3064857	0.8620278
500	0.2468293	1.0000000	0.9649279	0.0001247	0.5773733	0.0006561	0.8950888	0.4207118	0.3064434	0.8620278
550	0.2468293	1.0000000	0.9649279	0.0089315	0.5667740	0.3575593	0.6382426	0.4089724	0.5499793	0.9876363
600	0.2468293	1.0000000	0.9649279	0.0118689	0.5444168	0.4698710	0.5524109	0.3885468	0.6430938	0.9988921
650	0.2468293	1.0000000	0.9649279	0.0128436	0.5280441	0.5026229	0.5260166	0.3763221	0.6786525	0.9999007
700	0.2468293	1.0000000	0.9649279	0.0131659	0.5191163	0.5113023	0.5186455	0.3706671	0.6922275	0.9999911
750	0.2468293	1.0000000	0.9649279	0.0132719	0.5148026	0.5131897	0.5169491	0.3682503	0.6974079	0.9999992
800	0.2468293	1.0000000	0.9649279	0.0133065	0.5128411	0.5133761	0.5167620	0.3672433	0.6993838	0.9999999
850	0.2468293	1.0000000	0.9649279	0.0133178	0.5119794	0.5132458	0.5168806	0.3668268	0.7001370	1.0000000
900	0.2468293	1.0000000	0.9649279	0.0133213	0.5116086	0.5131195	0.5170042	0.3666550	0.7004239	1.0000000
950	0.2468293	1.0000000	0.9649279	0.0133225	0.5114512	0.5130420	0.5170838	0.3665841	0.7005330	1.0000000
1000	0.2468293	1.0000000	0.9649279	0.0133228	0.5113850	0.5130011	0.5171275	0.3665548	0.7005746	1.0000000
