"Time"	G0	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15
700	1.0000000	0.6001510	0.0966984	0.5626642	0.3930795	0.6276605	0.0007708	0.8163576	0.4509072	0.5536864	0.2868067	0.2214861	0.1567847	0.7482129	0.1079675	0.6283780
750	1.0000000	0.5969953	0.0819164	0.5991544	0.4449729	0.6408154	0.0023869	0.8121907	0.4638705	0.5606201	0.2793620	0.2474248	0.1995161	0.7179482	0.0798058	0.6760814
800	1.0000000	0.5985380	0.0720630	0.6143253	0.4705089	0.6534368	0.0043982	0.8018095	0.4676268	0.5637050	0.2748906	0.2630776	0.2268342	0.7223842	0.0579981	0.7120627
850	1.0000000	0.6004322	0.0664764	0.6190193	0.4820692	0.6623696	0.0060739	0.7898263	0.4678294	0.5650454	0.2725787	0.2712123	0.2422432	0.7355351	0.0444333	0.7322120
900	1.0000000	0.6017081	0.0636834	0.6196614	0.4868813	0.6677076	0.0071563	0.7798393	0.4670065	0.5656197	0.2714741	0.2748862	0.2503384	0.7453144	0.0368797	0.7412861
950	1.0000000	0.6024162	0.0624438	0.6191741	0.4886549	0.6705498	0.0077420	0.7729894	0.4661394	0.5658638	0.2709726	0.2762742	0.2543856	0.7505164	0.0329761	0.7447074
1000	1.0000000	0.6027700	0.0619654	0.6186022	0.4891673	0.6719261	0.0080165	0.7688843	0.4655035	0.5659669	0.2707557	0.2766428	0.2563229	0.7528683	0.0310765	0.7458019

0	1.0000000	0.6030566	0.0618306	0.6177147	0.4888843	0.6728174	0.0081519	0.7648556	0.4646461	0.5660401	0.2706334	0.2762322	0.2578110	0.7545620	0.0295179	0.7460929
50	0.7958488	0.5907270	0.0634402	0.6091306	0.5241642	0.7924405	0.0084967	0.7588378	0.4713778	0.5660253	0.2349844	0.2885773	0.3185967	0.7560937	0.0296090	0.7461894
100	0.5803315	0.5162221	0.0769254	0.5711916	0.5410164	0.9069082	0.0094387	0.7192313	0.5237304	0.5659582	0.2139981	0.3771946	0.3854653	0.7749522	0.0305976	0.7445751
